Date,AAPL,DIS,HD,MCD,MSFT,NKE
2014-01-02,17.62377331854336,70.210741988888,70.03162866311578,79.17314725442185,32.24806409961963,36.15178791843334
2014-01-03,17.236651220988893,70.063453163423,69.92062998320594,79.27990494701676,32.031109954708306,36.054754745339395
2014-01-06,17.330643829037097,69.796492167267,69.24609954375383,78.7132679632438,31.35421302258497,35.7775171079281
2014-01-07,17.20662137926502,70.275180850029,69.58763394347642,79.14851086382302,31.59720166488565,35.80524087166922
2014-01-08,17.31566873555145,69.244159071773,69.9547834231782,78.35193423446104,31.0331208881162,35.62041578006169
2014-01-09,17.094515280479392,68.949581420843,69.64740246342787,78.39299488545907,30.83352307479778,35.62041578006169
2014-01-10,16.98048153668125,69.40065344883,70.02309030312271,78.67220731224575,31.27610953041689,35.54186511612849
2014-01-13,17.069376240564125,67.449076511417,69.135100863844,77.87563068288377,30.35622395599286,34.73787596763572
2014-01-14,17.40902410557899,68.535331599222,69.16925430381626,78.19590376066849,31.05047721970911,34.733255340345536
2014-01-15,17.758549159914175,68.378837222166,69.22048446377464,78.39299488545907,31.90093746776151,34.85339164989043
2014-01-16,17.659458647700646,68.314398361025,69.38271330364287,78.88572269743557,32.0137536231154,34.55767150331838
2014-01-17,17.226774031668572,68.102670674419,69.16071594382319,77.95775198487985,31.571167167496295,33.91078368269201
2014-01-21,17.494414000348208,68.305192809433,68.69964450419769,78.08093393787397,31.38892568577078,34.077126265138794
2014-01-22,17.57215703886943,69.327009036097,68.47764714437803,77.9166913338818,31.180649706655906,33.961610582884084
2014-01-23,17.720952116694892,68.848320353336,68.51180058435028,78.27802506266455,31.28912677911157,33.60582228153959
2014-01-24,17.39882829724834,66.942771173881,67.5896577050993,77.54714547489945,31.93998921384555,33.10679453419925
2014-01-27,17.53997651882581,66.510110249077,67.40181378525189,77.25150878771355,31.267431364620435,33.22231021645396
2014-01-28,16.138052873361076,67.090059999346,67.06027938552931,77.34184221990924,31.475707343735312,33.59658102695921
2014-01-29,15.954846942419662,65.663199502653,65.4721444268193,76.49599280934962,31.814155809796976,33.1622420616815
2014-01-30,15.924004622219437,67.40304875346,65.68560342664591,77.02978127232413,31.98771912572604,34.16491818365237
2014-01-31,15.95006765726467,66.841510106374,65.61729654670138,77.33363008970963,32.838179373778445,33.661269809021846
2014-02-03,15.979699225225627,64.429655589383,64.11454518792202,76.38923511675469,31.65794882546082,32.75100623285475
2014-02-04,16.21101662672731,65.405444058089,64.01208486800525,76.44672002815196,31.545132670106934,32.58004302311778
2014-02-05,16.33209185065381,66.059038221091,64.25969730780412,76.84911440793275,31.08518988289492,32.62162866872947
2014-02-06,16.426721696722677,69.557147825886,65.02814970717992,77.96596411507946,31.397603851567233,33.042105752136614
2014-02-07,16.65653105569226,69.658408893394,65.2757621469788,78.77075287464105,31.72737415183245,33.58733977237883
2014-02-10,16.954930655693214,70.937980564622,65.24160870700653,77.9002670734826,31.93565013094732,33.57809851779846
2014-02-11,17.17832971176267,71.609985830806,65.48922114680542,78.29444932306379,32.26108134831431,34.18340069281313
2014-02-12,17.177047651182644,71.720452449905,65.98444602640316,77.92490346408141,32.517087239309674,34.243468847585575
2014-02-13,17.449806039583084,71.711246898313,66.24913518618817,78.39299488545907,32.63858156046002,34.594636521639885
2014-02-14,17.435703373202806,72.935585259992,66.53943942595237,78.65578305184654,32.64725972625647,34.687049067443645
2014-02-18,17.499806402204083,73.257779565697,66.23205846620203,78.85287417663713,32.7166850526281,34.751737849506284
2014-02-19,17.223522347208572,72.604185402695,65.2757621469788,78.46690405725555,32.795372964299304,34.57153338518894
2014-02-20,17.024161927014596,72.898763053626,66.15521322626446,78.63114666124771,33.005207395422524,34.92270105924325
2014-02-21,16.835057991460822,73.764084903233,66.37721058608413,79.20599577522029,33.206298725248935,35.33855751536021
2014-02-24,16.908776474812292,74.316417998727,66.48820926599397,79.24705642621832,32.95274878764172,35.966962826825814
2014-02-25,16.73281366020378,73.837729315965,69.14363922383707,79.34560198861362,32.82160226818971,36.0917197636609
2014-02-26,16.581851026905774,73.718057145275,69.75840114333772,78.74611648404223,32.76040055911211,36.234959209656736
2014-02-27,16.91262265655237,74.086279208938,69.98893686315046,78.74611648404223,33.10138150968733,36.161029173013716
2014-02-28,16.866788990816456,74.39006241146,70.04016702310885,78.80409111754963,33.494821068043365,36.29080471990482
2014-03-03,16.915507292857427,73.147312946598,70.01455194312965,78.11667760596195,33.03143669931293,35.869034192508735
2014-03-04,17.027046563319654,75.218562054701,70.75738926252627,78.66329557903167,33.58225208101136,36.439119630637514
2014-03-05,17.06294425956037,76.111500559083,70.79154270249853,78.69642394103589,33.31995904210735,35.882938715389926
2014-03-06,17.01134132121434,76.719066964126,70.36462470284529,79.16022100909504,33.35493144729455,36.253725992221646
2014-03-07,17.001405351719143,75.678839634279,70.4841617427482,79.09396428508659,33.13635391487453,36.82844627131082
2014-03-10,17.01679007867945,75.457906396081,70.16824242300481,78.8455015700549,33.066409104500124,36.60597390521179
2014-03-11,17.182496408647754,74.610995649657,69.8096313032961,81.81048996943302,33.24127113043615,36.522546767924645
2014-03-12,17.19916319618809,74.914778852179,69.18272724558412,81.75251533592562,33.45984866285616,36.60133906425139
2014-03-13,17.008136169764274,73.579973871402,67.67128732562101,80.6427152087841,33.12761081357773,36.39740606199394
2014-03-14,16.817109143340467,73.708851593684,68.1693754810634,80.81663910930628,32.961491888938525,36.30007440182561
2014-03-17,16.882814748066778,74.92398440377,68.34113001742284,80.83320329030839,33.26750043432654,36.60597390521179
